GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Exe1,ISO2.Exe1,App,161,0,7,0,36,0,7,0,3,0
Exe1,ISO2.Exe1.Domain,CustomDate,32,72,2,14,4,18,6,11,4,5
